Unique Facility ID,Status,Name,Type,Plant Name,Current Operator,Original Operator,Co-Owner,Constructed Date,Activated Date,Field Name,Latitude,Longitude,Licensed Capacity of Raw Gas(Mcf/d),Licensed Capacity of Sales Gas(Mcf/d),Licensed Capacity of Oil(Bbl/d),Licensed Capacity of Ethane(C2)(Bbl/d),Licensed Capacity of Ethane Plus(C2+)(Bbl/d),Licensed Capacity of Propane(C3)(Bbl/d),Licensed Capacity of Butane(C4)(Bbl/d),Licensed Capacity of Pentane Plus(C5+)(Bbl/d),Licensed Capacity of NGL(Bbl/d),Licensed Capacity of LPG(Bbl/d),Licensed Capacity of Sulphur(ton/d),Design Capacity of Raw Gas(Mcf/d),Design Capacity of Sales Gas(Mcf/d),Design Capacity of Oil(Bbl/d),Design Capacity of Ethane(C2)(Bbl/d),Design Capacity of Ethane Plus(C2+)(Bbl/d),Design Capacity of Propane(C3)(Bbl/d),Design Capacity of Butane(C4)(Bbl/d),Design Capacity of Pentane Plus(C5+)(Bbl/d),Design Capacity of NGL(Bbl/d),Design Capacity of LPG(Bbl/d),Design Capacity of Sulphur(ton/d),Raw Gas(Mcf/d),Sales Gas(Mcf/d),Ethane(C2)(Bbl/d),Ethane Plus(C2+)(Bbl/d),Propane(C3)(Bbl/d),Butane(C4)(Bbl/d),Pentane Plus(C5+)(Bbl/d),Natural Gas Liquids(Bbl/d),Liquefied Petroleum Gas(Bbl/d),Sulphur(ton/d),Sub Type,Location,Date,Raw Gas(Mcf/d).1,Sales Gas(Mcf/d).1,Injection(Mcf/d),Shrinkage(Mcf/d),Fuel(Mcf/d),Flared(Mcf/d),Other(Mcf/d),Oil(SK)(Bbl/d),Methane Plus(C1+)(SK)(Bbl/d),Ethane(C2)(Bbl/d).1,Ethane Plus(C2+)(Bbl/d).1,Propane(C3)(Bbl/d).1,Propane Plus(C3+)(SK)(Bbl/d),Butane(C4)(Bbl/d).1,Butane Plus(C4+)(SK)(Bbl/d),Pentane(C5)(SK)(Bbl/d),Pentane Plus(C5+)(Bbl/d).1,Natural Gas Liquids(Bbl/d).1,Sulphur(ton/d).1,Receipts of Oil(SK)(Bbl/d),Receipts of Ethane(C2)(SK)(Bbl/d),Receipts of Ethane Plus(C2+)(SK)(Bbl/d),Receipts of Propane(C3)(SK)(Bbl/d),Receipts of Propane Plus(C3+)(SK)(Bbl/d),Receipts of Butane(C4)(SK)(Bbl/d),Receipts of Butane Plus(C4+)(SK)(Bbl/d),Receipts of Pentane(C5)(SK)(Bbl/d),Receipts of Pentane Plus(C5+)(SK)(Bbl/d),Oil Production(Bbl/d),Oil Received(Bbl/d),Oil Open Inventory(Bbl/d),Oil Close Inventory(Bbl/d),Oil Delivered(Bbl/d),Gas Production(Mcf/d),Gas Received(Mcf/d),Lease Fuel(Mcf/d),Gas Flared(Mcf/d),Gas Vented(Mcf/d),Gas Meter Diff(Mcf/d),Gas Delivered(Mcf/d),Water Production(Bbl/d),Water Received(Bbl/d),Water Open Inventory(Bbl/d),Water Close Inventory(Bbl/d),Water Meter Diff(Bbl/d),Water Delivered(Bbl/d)
ABGP0001951,Suspended,IMPERIAL DEVON 1&2,GP,1 and 2,IMPERIAL OIL RESOURCES LIMITED,,100.0% - CONIFER ENERGY INC.,,,,54.57231,115.52295,172158.98,132500.61,,16392.93,0.0,0.0,0.0,0.0,,13617.77,,263659.27,179151.28,0.0,34346.48,,18847.15,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,,0.0,Gas Plant Fractionation,15-25-064-11W5M,2006-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
ABGP0140267,Active,7G CUTBANK 10-10-065-05W6,GP,7g Cutbank,ARC RESOURCES LTD.,,,1/1/2016,,,54.61249,118.66427,284035.83,270015.91,,0.0,0.0,0.0,0.0,0.0,,11094.33,,247202.64,247202.64,,,,,,,7929.02,,,157.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Gas Plant Sweet,10-10-065-05W6M,2021-06-01,157.97,0.0,0.0,0.0,100.41,57.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
ABGP0138811,Active,7G LATOR#2  2/1-21-63-2W6 GP,GP,7g Lator # 2,ARC RESOURCES LTD.,,100.0% - ARC RESOURCES LTD.,1/1/2015,,,54.45974,118.23009,230957.89,220010.35,,0.0,0.0,0.0,0.0,0.0,,4449.06,,198962.81,198962.81,,,,,,,7551.44,,,159830.51,157394.63,0.0,0.0,0.0,0.0,0.0,3935.04,,0.0,Gas Plant Sweet,01-21-063-02W6M,2021-06-01,159830.51,157394.63,0.0,5187.37,1404.46,91.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3935.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
ABGP0001319,Suspended,D ENERGY ABEE 1-32-61-22W4,GP,Abee,CANLIN RESOURCES PARTNERSHIP,,,1/1/1976,,,54.31408,113.25368,15008.73,13702.09,,0.0,0.0,0.0,0.0,16.36,,0.0,,1236.01,1059.44,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,117.91,89.43,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Gas Plant Acid Gas Injection,01-32-061-22W4M,2018-03-01,117.91,89.43,0.0,0.0,20.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
ABGP0001331,Suspended,ALTAGAS ACADIA,GP,Acadia Valley,ALTAGAS LTD.,,100.0% - ALTAGAS LTD.,1/1/1979,,,51.21041,110.16472,12006.99,10064.68,,0.0,0.0,0.0,0.0,755.14,,0.0,,8475.52,8475.52,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.35,0.35,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Gas Plant Sweet,13-12-026-02W4M,2011-06-01,0.35,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
ABGP0110241,Suspended,ALTAGAS ACADIA WEST GAS PLANT,GP,Acadia West,ALTAGAS LTD.,,100.0% - ALTAGAS LTD.,,,,51.21424,110.33931,4999.85,4998.44,,0.0,0.0,0.0,0.0,0.63,,0.0,,2436.71,2189.51,,,,,,,,,,340.73,233.99,0.0,0.0,0.0,0.0,0.47,0.0,,0.0,Gas Plant Sweet,02-15-026-03W4M,2016-07-01,340.73,233.99,0.0,0.57,93.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
ABGP0001628,Active,ACHESON 05-02-052-26W4 GAS PLANT,GP,Acheson,TIDEWATER MIDSTREAM AND INFRASTRUCTURE LTD.,,100.0% - TIDEWATER MIDSTREAM AND INFRASTRUCTURE LTD.,1/1/1982,,,53.54673,113.73491,33548.93,27510.12,,0.0,3788.31,0.0,0.0,0.0,,0.0,,33548.93,22954.53,18878.61,0.0,,0.0,0.0,0.0,6292.87,,0.0,3236.94,2251.78,0.0,0.0,0.0,0.0,0.0,320.12,,0.0,Gas Plant Sulphur Recovery,05-02-053-26W4M,2021-06-01,3236.94,2251.78,105.12,471.22,283.81,52.97,12.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
ABGP0088516,Active,ACL NGL L.P. SOUTH 9-14-30-27 PLANT,GP,Acl Ngl L.P. South,EMBER RESOURCES INC.,,100.0% - EMBER RESOURCES INC.,1/1/2006,,,51.57064,113.68812,9252.44,9075.87,,0.0,0.0,0.0,0.0,0.0,,161.73,,8828.67,6180.07,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,3512.87,3291.68,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Gas Plant Sweet,09-14-030-27W4M,2021-06-01,3512.87,3291.68,0.0,0.0,221.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
ABGP0087651,Suspended,ACL NGL LPT 8-28 REFRIDGE PLANT,GP,Acl Ngl Lpt Refridge Plant,EMBER RESOURCES INC.,,100.0% - EMBER RESOURCES INC.,1/1/2005,,,51.77093,113.62210,40082.14,,,,,,,,,,,30017.46,28251.73,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,11123.88,10442.43,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Gas Plant Sweet,08-28-032-26W4M,2018-06-01,11123.88,10442.43,0.0,0.0,661.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
ABGP0086745,Active,ACL NGL STEWART PLANT 7-7-32-27,GP,Acl Ngl Stewart,EMBER RESOURCES INC.,,100.0% - EMBER RESOURCES INC.,1/1/2005,,,51.72752,113.81689,17657.33,16597.89,,,,,,,,37.76,,19776.21,19776.21,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,5864.82,5614.8,0.0,0.0,0.0,0.0,0.36,26.6,,0.0,Gas Plant Sweet,07-07-032-27W4M,2021-06-01,5864.82,5614.8,0.0,33.67,229.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,26.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
ABGP0001756,Suspended,AEC WEST HYTHE 14-18,GP,Aec West Hythe,ENCANA WESTERN RESOURCES LTD.,,100.0% - VERESEN MIDSTREAM GENERAL PARTNER INC.,,,,55.41237,119.83645,336937.19,312146.3,,0.0,0.0,0.0,0.0,1903.59,,6083.95,463.85,,,,,,,,,,,,1996.37,2096.11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Gas Plant Sweet,11-18-074-12W6M,2000-02-01,1996.37,2096.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
